id,Name,Description,Location,Address,Date,Hour,Image,Category,Cost,Organizer,Grupal,Weather 
1,Small-clawed otter,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Ribeira do Pombal,8791 Warrior Alley,6/15/2020,12:19 PM,http://dummyimage.com/141x242.bmp/dddddd/000000,Teal,$13.14,"Texas Capital Bancshares, Inc.",0,2
2,Praying mantis (unidentified),"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Neftobod,24025 Harper Street,5/6/2020,4:05 AM,http://dummyimage.com/119x125.jpg/ff4444/ffffff,Puce,$10.54,iShares Global Infrastructure ETF,1,21
3,"Lizard, desert spiny","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Shidu,0704 Elka Junction,11/24/2019,1:45 AM,http://dummyimage.com/193x116.bmp/5fa2dd/ffffff,Purple,$14.29,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",0,31
4,Crab (unidentified),Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Bang Kho Laem,1 Rigney Park,2/10/2020,10:15 PM,http://dummyimage.com/137x104.bmp/5fa2dd/ffffff,Teal,$1.06,Triton International Limited,1,22
5,Black-backed magpie,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Shanhe,51699 Village Parkway,5/12/2020,2:30 PM,http://dummyimage.com/194x117.jpg/dddddd/000000,Yellow,$17.27,PowerShares DWA Emerging Markets Momentum Portfolio,0,22
6,"Tortoise, desert",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Brusque,68 Mallory Pass,11/23/2019,11:30 PM,http://dummyimage.com/199x231.png/cc0000/ffffff,Orange,$6.22,CoreSite Realty Corporation,1,35
7,"Crab, red lava","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Boucinha,3142 Mendota Court,12/9/2019,4:05 PM,http://dummyimage.com/115x194.bmp/5fa2dd/ffffff,Puce,$19.25,First Trust International Multi-Asset Diversified Income Index,0,21
8,Common goldeneye,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Borlänge,93607 Bartillon Court,9/21/2020,11:00 AM,http://dummyimage.com/132x103.bmp/dddddd/000000,Goldenrod,$0.81,Equity Commonwealth,0,13
9,"Monkey, bleeding heart",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Ngrowo,119 Sullivan Drive,7/14/2020,9:57 PM,http://dummyimage.com/111x157.bmp/5fa2dd/ffffff,Mauv,$2.21,Public Storage,1,7
10,Carpet snake,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Santa Cruz,56776 Prentice Pass,4/30/2020,1:00 AM,http://dummyimage.com/241x214.jpg/cc0000/ffffff,Maroon,$7.38,"Vishay Intertechnology, Inc.",1,24
11,Australian spiny anteater,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Xinyan,8 Morningstar Center,8/30/2020,3:50 PM,http://dummyimage.com/156x139.png/ff4444/ffffff,Red,$8.66,AGNC Investment Corp.,1,7
12,"Thrasher, curve-billed",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Issy-les-Moulineaux,95 Coleman Terrace,8/19/2020,1:40 AM,http://dummyimage.com/129x151.bmp/dddddd/000000,Turquoise,$18.29,"BJ's Restaurants, Inc.",0,15
13,Eastern fox squirrel,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Lusambo,117 Sherman Way,10/6/2020,6:15 PM,http://dummyimage.com/193x140.jpg/dddddd/000000,Indigo,$7.05,Janus Henderson Small/Mid Cap Growth Alpha ETF,0,18
14,"Squirrel, nelson ground","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Hirvensalmi,97 Loeprich Circle,12/3/2019,10:44 PM,http://dummyimage.com/166x108.png/5fa2dd/ffffff,Purple,$7.17,PowerShares DWA Utilities Momentum Portfolio,1,13
15,White-headed vulture,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Jinanten,7746 Oak Valley Street,8/13/2020,5:11 PM,http://dummyimage.com/154x221.bmp/dddddd/000000,Khaki,$16.02,"SPX FLOW, Inc.",0,24
16,"Cockatoo, slender-billed",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,San Pa Tong,7 Del Sol Terrace,1/24/2020,4:25 AM,http://dummyimage.com/171x198.jpg/5fa2dd/ffffff,Orange,$16.81,"GenVec, Inc.",0,30
17,Neotropic cormorant,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Kuantan,3542 Ridgeway Trail,12/15/2019,5:37 PM,http://dummyimage.com/192x221.png/5fa2dd/ffffff,Blue,$8.02,Baxter International Inc.,0,14
18,Glossy ibis,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Myaydo,2757 Hintze Junction,8/25/2020,2:33 AM,http://dummyimage.com/166x220.jpg/5fa2dd/ffffff,Fuscia,$8.62,"Athersys, Inc.",0,7
